Done1.
notepad.exe analyzing.. 
['MOV', 'JNO', 'MOV', 'XCHG']
['IMUL', 'PUSH', 'JNO', 'ADD']
['AAD', 'LEA', 'INC', 'CALL']
['JMP', 'FNSTCW', 'AND', 'SHR']
['PUSHA', 'OR', 'SBB', 'ADD']
['SUB', 'WAIT', 'POP', 'SUB']
['INC', 'SBB', 'ADC', 'MOV']
['SUB', 'SCASB', 'STD', 'XLAT']
['JZ', 'CMP', 'JLE', 'DEC']
['DEC', 'MOV', 'DEC', 'SHR']
['LEA', 'CALL', 'MOV', 'TEST']
['ADD', 'XOR', 'LOOP', 'DAA']
['SHL', 'POPA', 'XCHG', 'JMP']
['OR', 'DEC', 'XCHG', 'JL']
['ADD', 'ADD', 'CLC', 'CLC']
['DEC', 'ADD', 'CWDE', 'ADD']
['DB', 'CLC', 'ENTER', 'MOV']
['CMOVZ', 'CMP', 'MOV', 'DEC']
['DEC', 'SBB', 'XOR', 'DEC']
['DB', 'STC', 'SUB', 'XOR']
['MOV', 'STOSB', 'ADD', 'STI']
['INC', 'MOV', 'ADD', 'CMP']
['DB', 'JMP', 'RETF', 'JECXZ']
['CMP', 'IN', 'JGE', 'OUTS']
['XCHG', 'JLE', 'CLC', 'OUT']
['ADD', 'CALL', 'ADD', 'SBB']
['CLD', 'CLI', 'DB', 'DB']
['LAHF', 'MOV', 'IMUL', 'ADD']
['PUSH', 'LDS', 'PUSH', 'TEST']
['IN', 'AND', 'ADD', 'PUSH']
['OUT', 'JECXZ', 'JLE', 'CALL']
['HLT', 'DB', 'CMPSB', 'MOV']
['ADD', 'JZ', 'AND', 'INC']
['CWDE', 'FILD', 'ADD', 'ADD']
['DB', 'JMP', 'JMP', 'STD']
['DB', 'MOV', 'JO', 'MOV']
['LEAVE', 'RCL', 'ADD', 'XCHG']
['MOV', 'NEG', 'SBB', 'AND']
['MOVSB', 'MOV', 'JS', 'XOR']
['AND', 'XCHG', 'POP', 'CALL']
['MOV', 'IN', 'CMP', 'IMUL']
['JS', 'OUTS', 'JP', 'ADD']
['PUSHA', 'CMC', 'MOV', 'DB']
['IMUL', 'AND', 'MOV', 'MOV']
['INC', 'DB', 'JMP', 'DEC']
['OUTS', 'OR', 'XCHG', 'OUT']
['ADD', 'ADD', 'PUSH', 'DEC']
['INC', 'OR', 'TEST', 'ADC']
['LOOPNZ', 'DAS', 'XCHG', 'XOR']
['LEAVE', 'JMP', 'OR', 'RETF']
